Instruction,Latency,Throughput_ILP1,Throughput_ILP2,Throughput_ILP3,PeakWarps_ILP1,PeakWarps_ILP2,PeakWarps_ILP3
FADD,4.12,60.22,62.76,63.84,16,8,8
FSUB,4.11,60.27,63.71,63.81,16,8,8
FMUL,4.12,60.20,63.92,63.83,16,8,8
FMA,4.14,60.17,62.64,63.11,16,8,8
ADDS,0.02,266.00,555.10,907.86,32,32,32
SUBS,0.02,266.07,600.90,860.19,32,32,32
AND,0.04,266.68,469.37,540.32,32,32,16
MADS,0.02,148.29,320.86,477.64,16,16,16
MULS,26.31,14.18,14.08,15.00,32,16,16
DIVS,8.28,29.19,21.93,21.54,8,8,8
DIVF,35.25,7.80,8.09,8.21,16,16,16
SQRT,44.77,8.04,8.23,8.23,32,32,32
SETP,14.55,28.81,27.46,28.01,16,16,8
CVT,30.03,7.97,8.00,8.00,8,4,4
MOV,0.03,104857.60,N.A.,N.A.,32,N.A.,N.A.
MOV.U32,0.02,6553.60,N.A.,N.A.,1,N.A.,N.A.
MOV.F32,0.03,104857.60,N.A.,N.A.,32,N.A.,N.A.
MOV.B64,0.03,6553.60,N.A.,N.A.,1,N.A.,N.A.
MOV.B32,0.02,6553.60,N.A.,N.A.,1,N.A.,N.A.
ADD.S32,0.02,254.08,513.00,914.46,16,32,32
ADD.S64,0.05,239.73,502.43,868.75,32,32,32
SUB.S32,0.02,264.12,568.64,895.96,32,16,32
MUL.LO.S32,26.31,14.16,14.12,15.34,32,16,16
MUL.WIDE.S32,82.88,3.56,3.18,3.74,32,16,16
MAD.LO.S32,26.82,14.18,13.67,14.86,32,16,8
