num_blocks,threads_per_block,total_threads,empty_kernel_us,single_op_us,minimal_us,launch_overhead_us
1,32,32,6.17779,6.59558,6.51162,6.17779
1,64,64,6.30272,6.51264,6.77376,6.30272
1,128,128,6.00883,6.66419,6.45533,6.00883
1,256,256,6.23018,6.47373,6.68694,6.23018
1,512,512,6.04365,6.71232,6.48726,6.04365
1,1024,1024,6.23923,6.44096,6.71949,6.23923
2,32,64,6.03955,6.69901,6.49114,6.03955
4,32,128,6.26586,6.49933,6.69082,6.26586
8,32,256,6.02931,6.63347,6.48397,6.02931
16,32,512,6.24845,6.48192,6.71949,6.24845
32,32,1024,6.04262,6.69082,6.46656,6.04262
2,256,512,6.17882,6.47475,4.24246,6.17882
4,256,1024,6.01907,4.26496,4.09293,6.01907
8,256,2048,3.78061,4.11853,4.05094,3.78061
16,256,4096,3.73658,4.06426,4.23014,3.73658
32,256,8192,3.61574,4.24141,6.46349,3.61574
5,225,1125,6.2976,4.09907,4.2455,6.2976
25,225,5625,3.66899,4.08576,4.22298,3.66899
64,256,16384,3.64442,4.28032,4.11546,3.64442
128,256,32768,3.81542,4.25082,4.2089,3.81542
256,256,65536,3.8871,4.35405,4.57114,3.8871
512,256,131072,4.10624,5.05037,4.90598,4.10624
100,100,10000,6.18496,4.13798,4.10317,6.18496
200,200,40000,3.92806,4.25984,4.43494,3.92806
500,200,100000,4.09507,4.91418,4.75955,4.09507
